Customer_ID,Product,Quantity,Unit Price(USD),Total_Price(USD),Purchase_Date,Customer_Name,Industry,Annual_Revenue(USD),Number_of_Employees,Customer_Priority_Rating,Account_Type,Location,Current_Products,Product_Usage(%),Cross-Sell_Synergy,Last_Activity_Date,Opportunity_Stage,Opportunity_Amount(USD),Opportunity_Type,Competitors,Activity_Status,Activity_Priority,Activity_Type,Product_SKU
C002,Drills,2,250,500,2024-10-06,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Backup Batteries,9,500,4500,2024-10-07,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C003,API Integrations,5,750,3750,2024-06-27,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",2024-11-19,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,Drill Bits,9,1000,9000,2025-04-17,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Backup Batteries,9,250,2250,2024-12-26,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C001,Drill Bits,6,750,4500,2025-05-31,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C003,Advanced Analytics,6,750,4500,2024-07-07,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",2024-11-19,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,API Integrations,1,500,500,2024-06-26,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Safety Gear,10,1000,10000,2024-11-24,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,Protective Gloves,2,500,1000,2024-11-13,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C003,API Integrations,9,1000,9000,2024-10-29,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",2024-11-19,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C001,Workflow Automation,1,500,500,2024-07-11,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C004,Drill Bits,6,100,600,2024-09-04,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,Generators,5,1000,5000,2024-12-12,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C005,Drills,2,750,1500,2024-11-06,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C002,Collaboration Suite,5,250,1250,2024-06-16,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Safety Gear,8,100,800,2025-01-01,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C002,Backup Batteries,7,500,3500,2024-11-30,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C005,Safety Gear,9,250,2250,2024-12-04,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C001,Generators,4,100,400,2025-05-10,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C002,Workflow Automation,8,1000,8000,2024-06-27,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Backup Batteries,8,100,800,2025-04-02,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,Generators,8,100,800,2024-11-08,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C005,Collaboration Suite,9,500,4500,2025-01-20,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C004,Generators,6,750,4500,2024-11-19,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C002,Safety Gear,1,750,750,2025-02-07,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Generators,3,100,300,2025-01-26,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C004,API Integrations,6,1000,6000,2025-02-28,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",2024-11-19,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C003,Safety Gear,10,100,1000,2025-03-28,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",2024-11-19,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C001,Protective Gloves,1,100,100,2024-11-27,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C005,Workflow Automation,2,250,500,2024-12-03,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C005,Collaboration Suite,2,250,500,2024-07-25,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C001,Workflow Automation,10,500,5000,2025-05-08,Edge Communications,Electronics,139000000,1000,Medium,Hot Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",2024-11-19,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C005,API Integrations,8,1000,8000,2024-09-07,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",2024-11-19,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C003,Workflow Automation,6,250,1500,2024-12-17,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",2024-11-19,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,Workflow Automation,1,750,750,2025-01-19,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",2024-11-19,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
